pokedex_number,name,japanese_name,base_total,attack,defense,sp_attack,sp_defense,speed,hp,capture_rate,experience_growth,type1,type2,classification,generation,is_legendary,x,y
186,Politoed,Nyorotonoニョロトノ,500,75,75,90,100,70,90,45,1059860,water,,Frog Pokémon,2,0,-2.4255902767181396,23.576833724975586
187,Hoppip,Haneccoハネッコ,250,35,40,35,55,50,35,255,1059860,grass,flying,Cottonweed Pokémon,2,0,-7.214663505554199,-40.004878997802734
188,Skiploom,Popoccoポポッコ,340,45,50,45,65,80,55,120,1059860,grass,flying,Cottonweed Pokémon,2,0,1.041016936302185,-30.562118530273438
189,Jumpluff,Wataccoワタッコ,460,55,70,55,95,110,75,45,1059860,grass,flying,Cottonweed Pokémon,2,0,7.121402263641357,-2.799539089202881
190,Aipom,Eipamエイパム,360,70,55,40,55,85,55,45,800000,normal,,Long Tail Pokémon,2,0,-0.29080837965011597,-11.107943534851074
191,Sunkern,Himanutsヒマナッツ,180,30,30,30,30,30,30,235,1059860,grass,,Seed Pokémon,2,0,-10.952042579650879,-41.790157318115234
192,Sunflora,Kimawariキマワリ,425,75,55,105,85,30,75,120,1059860,grass,,Sun Pokémon,2,0,-2.7367947101593018,2.6354076862335205
193,Yanma,Yanyanmaヤンヤンマ,390,65,45,75,45,95,65,75,1000000,bug,flying,Clear Wing Pokémon,2,0,16.341480255126953,-4.574397563934326
194,Wooper,Upahウパー,210,45,45,25,25,15,55,255,1000000,water,ground,Water Fish Pokémon,2,0,-14.389333724975586,-38.58990478515625
195,Quagsire,Nuohヌオー,430,85,85,65,65,35,95,90,1000000,water,ground,Water Fish Pokémon,2,0,-7.758883476257324,9.09649658203125
196,Espeon,Eifieエーフィ,525,65,60,130,95,110,65,45,1000000,psychic,,Sun Pokémon,2,0,22.122976303100586,11.191346168518066
197,Umbreon,Blackyブラッキー,525,65,110,60,130,65,95,45,1000000,dark,,Moonlight Pokémon,2,0,5.604528903961182,28.76654624938965
198,Murkrow,Yamikarasuヤミカラス,405,85,42,85,42,91,60,30,1059860,dark,flying,Darkness Pokémon,2,0,15.204765319824219,-5.559615612030029
199,Slowking,Yadokingヤドキング,490,75,80,100,110,30,95,70,1000000,water,psychic,Royal Pokémon,2,0,-3.9662771224975586,18.945226669311523
200,Misdreavus,Mumaムウマ,435,60,60,85,85,85,60,45,800000,ghost,,Screech Pokémon,2,0,14.349774360656738,0.27498382329940796
201,Unown,Unknownアンノーン,336,72,48,72,48,48,48,225,1000000,psychic,,Symbol Pokémon,2,0,8.887511253356934,-20.73424530029297
202,Wobbuffet,Sonansソーナンス,405,33,58,33,58,33,190,45,1000000,psychic,,Patient Pokémon,2,0,-3.0114119052886963,9.016768455505371
203,Girafarig,Kirinrikiキリンリキ,455,80,65,90,65,85,70,60,1000000,normal,psychic,Long Neck Pokémon,2,0,14.546717643737793,4.279364585876465
204,Pineco,Kunugidamaクヌギダマ,290,65,90,35,35,15,50,190,1000000,bug,,Bagworm Pokémon,2,0,-16.747560501098633,-15.635756492614746
205,Forretress,Foretosフォレトス,465,90,140,60,60,40,75,75,1000000,bug,steel,Bagworm Pokémon,2,0,-23.65618133544922,12.201071739196777
206,Dunsparce,Nokocchiノコッチ,415,70,70,65,65,45,100,190,1000000,normal,,Land Snake Pokémon,2,0,-4.649811267852783,11.945767402648926
207,Gligar,Gligerグライガー,430,75,105,35,65,85,65,60,1059860,ground,flying,Flyscorpion Pokémon,2,0,-19.268033981323242,23.797008514404297
208,Steelix,Haganeilハガネール,610,125,230,55,95,30,75,25,1000000,steel,ground,Iron Snake Pokémon,2,0,-27.855344772338867,13.492270469665527
209,Snubbull,Buluブルー,300,80,50,40,40,30,60,190,800000,fairy,,Fairy Pokémon,2,0,-11.671031951904297,-23.57151222229004
210,Granbull,Granbuluグランブル,450,120,75,60,60,45,90,75,800000,fairy,,Fairy Pokémon,2,0,-14.062533378601074,16.977792739868164
211,Qwilfish,Harysenハリーセン,440,95,85,55,55,85,65,45,1000000,water,poison,Balloon Pokémon,2,0,0.960273027420044,-3.5899176597595215
212,Scizor,Hassamハッサム,600,150,140,65,100,75,70,25,1000000,bug,steel,Pincer Pokémon,2,0,16.067506790161133,35.378719329833984
213,Shuckle,Tsubotsuboツボツボ,505,10,230,10,230,5,20,190,1059860,bug,rock,Mold Pokémon,2,0,-22.250728607177734,-0.7663689851760864
214,Heracross,Heracrosヘラクロス,600,185,115,40,105,75,80,45,1250000,bug,fighting,Singlehorn Pokémon,2,0,15.78941822052002,36.33484649658203
215,Sneasel,Nyulaニューラ,430,95,55,35,75,115,55,60,1059860,dark,ice,Sharp Claw Pokémon,2,0,5.960372447967529,2.8161323070526123
216,Teddiursa,Himegumaヒメグマ,330,80,50,50,50,40,60,120,1000000,normal,,Little Bear Pokémon,2,0,-10.161087989807129,-22.721294403076172
217,Ursaring,Ringumaリングマ,500,130,75,75,75,55,90,60,1000000,normal,,Hibernator Pokémon,2,0,-13.49813175201416,15.970242500305176
218,Slugma,Magmagマグマッグ,250,40,40,70,40,20,40,190,1000000,fire,,Lava Pokémon,2,0,5.615427494049072,-25.08867645263672
219,Magcargo,Magcargotマグカルゴ,430,50,120,90,80,30,60,75,1000000,fire,rock,Lava Pokémon,2,0,-19.51154899597168,7.02771520614624
220,Swinub,Urimooウリムー,250,50,40,30,30,50,50,225,1250000,ice,ground,Pig Pokémon,2,0,-7.852565288543701,-36.95466232299805
221,Piloswine,Inomooイノムー,450,100,80,60,60,50,100,75,1250000,ice,ground,Swine Pokémon,2,0,-9.127304077148438,9.488259315490723
222,Corsola,Sunnygoサニーゴ,410,55,95,65,95,35,65,60,800000,water,rock,Coral Pokémon,2,0,-12.321096420288086,-1.7537118196487427
223,Remoraid,Teppouoテッポウオ,300,65,35,65,35,65,35,190,1000000,water,,Jet Pokémon,2,0,6.142176628112793,-34.908294677734375
224,Octillery,Okutankオクタン,480,105,75,105,75,45,75,75,1000000,water,,Jet Pokémon,2,0,8.11592960357666,16.164493560791016
225,Delibird,Delibirdデリバード,330,55,45,65,45,75,45,45,800000,ice,flying,Delivery Pokémon,2,0,4.0251240730285645,-35.59983825683594
226,Mantine,Mantainマンタイン,485,40,70,80,140,70,85,25,1250000,water,flying,Kite Pokémon,2,0,-1.5993874073028564,27.23936653137207
227,Skarmory,Airmdエアームド,465,80,140,40,70,70,65,25,1250000,steel,flying,Armor Bird Pokémon,2,0,-23.883344650268555,10.599096298217773
228,Houndour,Delvilデルビル,330,60,30,80,50,65,45,120,1250000,dark,fire,Dark Pokémon,2,0,7.2208452224731445,-33.88254165649414
229,Houndoom,Hellgarヘルガー,600,90,90,140,90,115,75,45,1250000,dark,fire,Dark Pokémon,2,0,21.904150009155273,16.248796463012695
230,Kingdra,Kingdraキングドラ,540,95,95,95,95,85,75,45,1000000,water,dragon,Dragon Pokémon,2,0,10.757668495178223,24.79055404663086
231,Phanpy,Gomazouゴマゾウ,330,60,60,40,40,40,90,120,1000000,ground,,Long Nose Pokémon,2,0,-14.82565689086914,-23.587034225463867
232,Donphan,Donfanドンファン,500,120,120,60,60,50,90,60,1000000,ground,,Armor Pokémon,2,0,-21.68035888671875,15.222661972045898
233,Porygon2,Porygon2ポリゴン２,515,80,90,105,95,60,85,45,1000000,normal,,Virtual Pokémon,2,0,1.1112018823623657,20.84235382080078
234,Stantler,Odoshishiオドシシ,465,95,62,85,65,85,73,45,1250000,normal,,Big Horn Pokémon,2,0,11.30200481414795,9.855896949768066
235,Smeargle,Dobleドーブル,250,20,35,20,45,75,55,45,800000,normal,,Painter Pokémon,2,0,-4.981727123260498,-41.598140716552734
236,Tyrogue,Balkieバルキー,210,35,35,35,35,35,35,75,1000000,fighting,,Scuffle Pokémon,2,0,-11.489048957824707,-41.560691833496094
237,Hitmontop,Kapoererカポエラー,455,95,95,35,110,70,50,45,1000000,fighting,,Handstand Pokémon,2,0,-25.456666946411133,4.446542739868164
238,Smoochum,Muchulムチュール,305,30,15,85,65,65,45,45,1000000,ice,psychic,Kiss Pokémon,2,0,8.275029182434082,-31.91446876525879
239,Elekid,Elekidエレキッド,360,63,37,65,55,95,45,45,1000000,electric,,Electric Pokémon,2,0,15.77920913696289,-8.272941589355469
240,Magby,Bubyブビィ,365,75,37,70,55,83,45,45,1000000,fire,,Live Coal Pokémon,2,0,15.409100532531738,-8.063684463500977
241,Miltank,Miltankミルタンク,490,80,105,40,70,100,95,45,1250000,normal,,Milk Cow Pokémon,2,0,-18.235572814941406,23.75168228149414
242,Blissey,Happinasハピナス,540,10,10,75,135,55,255,30,800000,normal,,Happiness Pokémon,2,0,30.323305130004883,3.602936029434204
243,Raikou,Raikouライコウ,580,85,75,115,100,115,90,3,1250000,electric,,Thunder Pokémon,2,1,19.894607543945312,14.353086471557617
244,Entei,Enteiエンテイ,580,115,85,90,75,100,115,3,1250000,fire,,Volcano Pokémon,2,1,12.442185401916504,30.89280128479004
245,Suicune,Suicuneスイクン,580,75,115,90,115,85,100,3,1250000,water,,Aurora Pokémon,2,1,7.93479061126709,28.37233543395996
246,Larvitar,Yogirasヨーギラス,300,64,50,45,50,41,50,45,1250000,rock,ground,Rock Skin Pokémon,2,0,-7.515689373016357,-25.412641525268555
247,Pupitar,Sanagirasサナギラス,410,84,70,65,70,51,70,45,1250000,rock,ground,Hard Shell Pokémon,2,0,-7.129794597625732,3.2361998558044434
248,Tyranitar,Bangirasバンギラス,700,164,150,95,120,71,100,45,1250000,rock,dark,Armor Pokémon,2,0,17.860897064208984,34.00257110595703
249,Lugia,Lugiaルギア,680,90,130,90,154,110,106,3,1250000,psychic,flying,Diving Pokémon,2,1,7.993781566619873,29.859390258789062
250,Ho-Oh,Hououホウオウ,680,130,90,110,154,90,106,3,1250000,fire,flying,Rainbow Pokémon,2,1,4.930004119873047,32.54644775390625
251,Celebi,Celebiセレビィ,600,100,100,100,100,100,100,45,1059860,psychic,grass,Time Travel Pokémon,2,1,12.799535751342773,27.727909088134766
252,Treecko,Kimoriキモリ,310,45,35,65,55,70,40,45,1059860,grass,,Wood Gecko Pokémon,3,0,5.073383808135986,-33.60712432861328
253,Grovyle,Juptileジュプトル,405,65,45,85,65,95,50,45,1059860,grass,,Wood Gecko Pokémon,3,0,16.10293197631836,-2.635312795639038
254,Sceptile,Jukainジュカイン,630,110,75,145,85,145,70,45,1059860,grass,,Forest Pokémon,3,0,23.58399200439453,16.863283157348633
255,Torchic,Achamoアチャモ,310,60,40,70,50,45,45,45,1059860,fire,,Chick Pokémon,3,0,8.235543251037598,-22.006818771362305
256,Combusken,Wakasyamoワカシャモ,405,85,60,85,60,55,60,45,1059860,fire,fighting,Young Fowl Pokémon,3,0,9.148213386535645,-7.060515880584717
257,Blaziken,Bursyamoバシャーモ,630,160,80,130,80,100,80,45,1059860,fire,fighting,Blaze Pokémon,3,0,23.991107940673828,21.95920181274414
258,Mudkip,Mizugorouミズゴロウ,310,70,50,50,50,40,50,45,1059860,water,,Mud Fish Pokémon,3,0,-8.367313385009766,-25.297256469726562
259,Marshtomp,Numacrawヌマクロー,405,85,70,60,70,50,70,45,1059860,water,ground,Mud Fish Pokémon,3,0,-7.588665008544922,3.386101245880127
260,Swampert,Laglargeラグラージ,635,150,110,95,110,70,100,45,1059860,water,ground,Mud Fish Pokémon,3,0,17.071216583251953,32.545528411865234
261,Poochyena,Pochienaポチエナ,220,55,35,30,30,35,35,255,1000000,dark,,Bite Pokémon,3,0,-10.632253646850586,-37.017913818359375
262,Mightyena,Graenaグラエナ,420,90,70,60,60,70,70,127,1000000,dark,,Bite Pokémon,3,0,-0.4575044810771942,-3.290318250656128
263,Zigzagoon,Jiguzagumaジグザグマ,240,30,41,30,41,60,38,255,1000000,normal,,Tiny Racoon Pokémon,3,0,-5.4606757164001465,-40.18938446044922
264,Linoone,Massugumaマッスグマ,420,70,61,50,61,100,78,90,1000000,normal,,Rush Pokémon,3,0,2.071868658065796,-7.052030086517334
265,Wurmple,Kemussoケムッソ,195,45,35,20,30,20,45,255,1000000,bug,,Worm Pokémon,3,0,-13.292065620422363,-38.74502182006836
266,Silcoon,Karasalisカラサリス,205,35,55,25,25,15,50,120,1000000,bug,,Cocoon Pokémon,3,0,-14.6358642578125,-39.64783477783203
267,Beautifly,Agehuntアゲハント,395,70,50,100,50,65,60,45,1000000,bug,flying,Butterfly Pokémon,3,0,11.273797035217285,-6.216143608093262
268,Cascoon,Mayuldマユルド,205,35,55,25,25,15,50,120,1000000,bug,,Cocoon Pokémon,3,0,-14.887426376342773,-39.65996170043945
269,Dustox,Dokucaleドクケイル,385,50,70,50,90,65,60,45,1000000,bug,poison,Poison Moth Pokémon,3,0,-6.465186595916748,-3.0311026573181152
270,Lotad,Hassbohハスボー,220,30,30,40,50,30,40,255,1059860,water,grass,Water Weed Pokémon,3,0,-11.687373161315918,-43.212406158447266
271,Lombre,Hasubreroハスブレロ,340,50,50,60,70,50,60,120,1059860,water,grass,Jolly Pokémon,3,0,1.1769020557403564,-21.14906883239746
272,Ludicolo,Runpappaルンパッパ,480,70,70,90,100,70,80,45,1059860,water,grass,Carefree Pokémon,3,0,-2.4868569374084473,24.0711669921875
273,Seedot,Tanebohタネボー,220,40,50,30,30,30,40,255,1059860,grass,,Acorn Pokémon,3,0,-13.051399230957031,-40.075191497802734
274,Nuzleaf,Konohanaコノハナ,340,70,40,60,40,60,70,120,1059860,grass,dark,Wily Pokémon,3,0,6.41804838180542,-17.273136138916016
275,Shiftry,Dirtengダーテング,480,100,60,90,60,80,90,45,1059860,grass,dark,Wickid Pokémon,3,0,10.278364181518555,11.854544639587402
276,Taillow,Subameスバメ,270,55,30,30,30,85,40,200,1059860,normal,flying,TinySwallow Pokémon,3,0,-1.7129613161087036,-39.02495574951172
277,Swellow,Ohsubameオオスバメ,455,85,60,75,50,125,60,45,1059860,normal,flying,Swallow Pokémon,3,0,11.11710262298584,3.341346025466919
278,Wingull,Camomeキャモメ,270,30,30,55,30,85,40,190,1000000,water,flying,Seagull Pokémon,3,0,3.2028238773345947,-39.86353302001953
279,Pelipper,Pelipperペリッパー,440,50,100,95,70,65,60,45,1000000,water,flying,Water Bird Pokémon,3,0,4.572310924530029,17.99625015258789
280,Ralts,Raltsラルトス,198,25,25,45,35,40,28,235,1250000,psychic,fairy,Feeling Pokémon,3,0,-10.036685943603516,-42.64088439941406
281,Kirlia,Kirliaキルリア,278,35,35,65,55,50,38,120,1250000,psychic,fairy,Emotion Pokémon,3,0,4.929016590118408,-29.452613830566406
282,Gardevoir,Sirnightサーナイト,618,85,65,165,135,100,68,45,1250000,psychic,fairy,Embrace Pokémon,3,0,21.127294540405273,23.277328491210938
283,Surskit,Ametamaアメタマ,269,30,32,50,52,65,40,200,1000000,bug,water,Pond Skater Pokémon,3,0,3.794888734817505,-38.081600189208984
284,Masquerain,Amemothアメモース,454,60,62,100,82,80,70,75,1000000,bug,flying,Eyeball Pokémon,3,0,14.424111366271973,1.6195011138916016
285,Shroomish,Kinococoキノココ,295,40,60,40,60,35,60,255,1640000,grass,,Mushroom Pokémon,3,0,-2.3900136947631836,-25.45110511779785
286,Breloom,Kinogassaキノガッサ,460,130,80,60,60,70,60,90,1640000,grass,fighting,Mushroom Pokémon,3,0,-17.6385440826416,19.0247859954834
287,Slakoth,Namakeroナマケロ,280,60,60,35,35,30,60,255,1250000,normal,,Slacker Pokémon,3,0,-11.042108535766602,-25.66245460510254
288,Vigoroth,Yarukimonoヤルキモノ,440,80,80,55,55,90,80,120,1250000,normal,,Wild Monkey Pokémon,3,0,1.5188977718353271,-5.271692276000977
289,Slaking,Kekkingケッキング,670,160,100,95,65,100,150,45,1250000,normal,,Lazy Pokémon,3,0,22.299997329711914,31.908918380737305
290,Nincada,Tutininツチニン,266,45,90,30,30,40,31,255,600000,bug,ground,Trainee Pokémon,3,0,-14.31042194366455,-15.283968925476074
291,Ninjask,Tekkaninテッカニン,456,90,45,50,50,160,61,120,600000,bug,flying,Ninja Pokémon,3,0,10.312957763671875,2.452476978302002
292,Shedinja,Nukeninヌケニン,236,90,45,30,30,40,1,45,600000,bug,ghost,Shed Pokémon,3,0,-11.093528747558594,-31.423992156982422
293,Whismur,Gonyonyoゴニョニョ,240,51,23,51,23,28,64,190,1059860,normal,,Whisper Pokémon,3,0,-13.704142570495605,-34.89081954956055
294,Loudred,Dogohmbドゴーム,360,71,43,71,43,48,84,120,1059860,normal,,Big Voice Pokémon,3,0,5.755974292755127,-16.930097579956055
295,Exploud,Bakuongバクオング,490,91,63,91,73,68,104,45,1059860,normal,,Loud Noise Pokémon,3,0,0.7249615788459778,13.973616600036621
296,Makuhita,Makunoshitaマクノシタ,237,60,30,20,30,25,72,180,1640000,fighting,,Guts Pokémon,3,0,-14.655622482299805,-36.09349822998047
297,Hariyama,Hariteyamaハリテヤマ,474,120,60,40,60,50,144,200,1640000,fighting,,Arm Thrust Pokémon,3,0,-9.563483238220215,12.700919151306152
298,Azurill,Ruririルリリ,190,20,40,20,40,20,50,150,800000,normal,fairy,Polka Dot Pokémon,3,0,-14.216327667236328,-42.24342727661133
299,Nosepass,Nosepassノズパス,375,45,135,45,90,30,30,255,1000000,rock,,Compass Pokémon,3,0,-17.79642677307129,-3.1923298835754395
300,Skitty,Enecoエネコ,260,45,45,35,35,50,50,255,800000,normal,,Kitten Pokémon,3,0,-7.219733715057373,-36.746307373046875
301,Delcatty,Enekororoエネコロロ,400,65,65,55,55,90,70,60,800000,normal,,Prim Pokémon,3,0,1.587286114692688,-8.072327613830566
302,Sableye,Yamiramiヤミラミ,480,85,125,85,115,20,50,45,1059860,dark,ghost,Darkness Pokémon,3,0,-19.37946891784668,4.462034702301025
303,Mawile,Kucheatクチート,480,105,125,55,95,50,50,45,800000,steel,fairy,Deceiver Pokémon,3,0,-22.825559616088867,5.915928363800049
304,Aron,Cokodoraココドラ,330,70,100,40,40,30,50,180,1250000,steel,rock,Iron Armor Pokémon,3,0,-16.318452835083008,-14.427964210510254
305,Lairon,Kodoraコドラ,430,90,140,50,50,40,60,90,1250000,steel,rock,Iron Armor Pokémon,3,0,-24.566547393798828,11.87642765045166
306,Aggron,Bossgodoraボスゴドラ,630,140,230,60,80,50,70,45,1250000,steel,rock,Iron Armor Pokémon,3,0,-27.880117416381836,13.703126907348633
307,Meditite,Asananアサナン,280,40,55,40,55,60,30,180,1000000,fighting,psychic,Meditate Pokémon,3,0,-3.58543062210083,-33.728416442871094
308,Medicham,Charemチャーレム,510,100,85,80,85,100,60,90,1000000,fighting,psychic,Meditate Pokémon,3,0,8.490472793579102,8.238944053649902
309,Electrike,Rakuraiラクライ,295,45,40,65,40,65,40,120,1250000,electric,,Lightning Pokémon,3,0,5.0344648361206055,-35.91749954223633
310,Manectric,Livoltライボルト,575,75,80,135,80,135,70,45,1250000,electric,,Discharge Pokémon,3,0,22.876110076904297,15.05049991607666
311,Plusle,Prasleプラスル,405,50,40,85,75,95,60,200,1000000,electric,,Cheering Pokémon,3,0,15.736786842346191,-1.2152354717254639
312,Minun,Minunマイナン,405,40,50,75,85,95,60,200,1000000,electric,,Cheering Pokémon,3,0,15.31118392944336,-0.7029581069946289
313,Volbeat,Barubeatバルビート,430,73,75,47,85,85,65,150,600000,bug,,Firefly Pokémon,3,0,4.1743388175964355,-2.866096019744873
314,Illumise,Illumiseイルミーゼ,430,47,75,73,85,85,65,150,1640000,bug,,Firefly Pokémon,3,0,8.630399703979492,-2.0402672290802
315,Roselia,Roseliaロゼリア,400,60,45,100,80,65,50,150,1059860,grass,poison,Thorn Pokémon,3,0,12.153883934020996,-1.6916751861572266
316,Gulpin,Gokulinゴクリン,302,43,53,43,53,40,70,225,1640000,poison,,Stomach Pokémon,3,0,-3.093461036682129,-26.115266799926758
317,Swalot,Marunoomマルノーム,467,73,83,73,83,55,100,75,1640000,poison,,Poison Bag Pokémon,3,0,-4.093367099761963,14.482983589172363
318,Carvanha,Kibanhaキバニア,305,90,20,65,20,65,45,225,1250000,water,dark,Savage Pokémon,3,0,12.200081825256348,-23.491273880004883
319,Sharpedo,Samehaderサメハダー,560,140,70,110,65,105,70,60,1250000,water,dark,Brutal Pokémon,3,0,23.171226501464844,20.503759384155273
320,Wailmer,Hoerukoホエルコ,400,70,35,70,35,60,130,125,1640000,water,,Ball Whale Pokémon,3,0,-2.0228271484375,10.94467544555664
321,Wailord,Whalohホエルオー,500,90,45,90,45,60,170,60,1640000,water,,Float Whale Pokémon,3,0,-1.0906082391738892,10.346258163452148
322,Numel,Donmelドンメル,305,60,40,65,45,35,60,255,1000000,fire,ground,Numb Pokémon,3,0,7.243191719055176,-22.354589462280273
323,Camerupt,Bakuudaバクーダ,560,120,100,145,105,20,70,150,1000000,fire,ground,Eruption Pokémon,3,0,14.285078048706055,21.583621978759766
324,Torkoal,Cotoiseコータス,470,85,140,85,70,20,70,90,1000000,fire,,Coal Pokémon,3,0,-20.727975845336914,8.984230041503906
325,Spoink,Banebooバネブー,330,25,35,70,80,60,60,255,800000,psychic,,Bounce Pokémon,3,0,8.43379020690918,-30.264087677001953
326,Grumpig,Boopigブーピッグ,470,45,65,90,110,80,80,60,800000,psychic,,Manipulate Pokémon,3,0,-1.5087623596191406,25.73091697692871
327,Spinda,Patcheelパッチール,360,60,60,60,60,60,60,255,800000,normal,,Spot Panda Pokémon,3,0,2.2591710090637207,-15.496556282043457
328,Trapinch,Nuckrarナックラー,290,100,45,45,45,10,45,255,1059860,ground,,Ant Pit Pokémon,3,0,-12.515264511108398,-25.158241271972656
329,Vibrava,Vibravaビブラーバ,340,70,50,50,50,70,50,120,1059860,ground,dragon,Vibration Pokémon,3,0,-2.2869374752044678,-12.867452621459961
330,Flygon,Flygonフライゴン,520,100,80,80,80,100,80,45,1059860,ground,dragon,Mystic Pokémon,3,0,8.251537322998047,9.061816215515137
331,Cacnea,Saboneaサボネア,335,85,40,85,40,35,50,190,1059860,grass,,Cactus Pokémon,3,0,10.851333618164062,-21.006031036376953
332,Cacturne,Noctusノクタス,475,115,60,115,60,55,70,60,1059860,grass,dark,Scarecrow Pokémon,3,0,8.891987800598145,15.088918685913086
333,Swablu,Tylttoチルット,310,40,60,40,75,50,45,255,600000,normal,flying,Cotton Bird Pokémon,3,0,0.46373432874679565,-27.661903381347656
334,Altaria,Tyltalisチルタリス,590,110,110,110,105,80,75,45,600000,dragon,flying,Humming Pokémon,3,0,14.863434791564941,26.002756118774414
335,Zangoose,Zangooseザングース,458,115,60,60,60,90,73,90,600000,normal,,Cat Ferret Pokémon,3,0,5.593825817108154,6.677651882171631
336,Seviper,Habunakeハブネーク,458,100,60,100,60,65,73,90,1640000,poison,,Fang Snake Pokémon,3,0,9.017708778381348,13.467812538146973
337,Lunatone,Lunatoneルナトーン,460,55,65,95,85,70,90,45,800000,rock,psychic,Meteorite Pokémon,3,0,-1.6190344095230103,22.504884719848633
338,Solrock,Solrockソルロック,460,95,85,55,65,70,90,45,800000,rock,psychic,Meteorite Pokémon,3,0,-8.88502311706543,15.573892593383789
339,Barboach,Dojoachドジョッチ,288,48,43,46,41,60,50,190,1000000,water,ground,Whiskers Pokémon,3,0,-0.7549950480461121,-34.48265838623047
340,Whiscash,Namazunナマズン,468,78,73,76,71,60,110,75,1000000,water,ground,Whiskers Pokémon,3,0,-2.8862621784210205,13.871953010559082
341,Corphish,Heiganiヘイガニ,308,80,65,50,35,35,43,205,1640000,water,,Ruffian Pokémon,3,0,-9.244302749633789,-19.251792907714844
342,Crawdaunt,Shizarigerシザリガー,468,120,85,90,55,55,63,155,1640000,water,dark,Rogue Pokémon,3,0,6.428946495056152,15.1117582321167
343,Baltoy,Yajilonヤジロン,300,40,55,40,70,55,40,255,1000000,ground,psychic,Clay Doll Pokémon,3,0,0.6112737059593201,-28.29401397705078
344,Claydol,Nendollネンドール,500,70,105,70,120,75,60,90,1000000,ground,psychic,Clay Doll Pokémon,3,0,6.298896312713623,26.389936447143555
345,Lileep,Lilylaリリーラ,355,41,77,61,87,23,66,45,600000,rock,grass,Sea Lily Pokémon,3,0,-12.087078094482422,-3.298038959503174
346,Cradily,Yuradleユレイドル,495,81,97,81,107,43,86,45,600000,rock,grass,Barnacle Pokémon,3,0,-16.396642684936523,5.990161895751953
347,Anorith,Anopthアノプス,355,95,50,40,50,75,45,45,600000,rock,bug,Old Shrimp Pokémon,3,0,-5.023706436157227,-14.017129898071289
348,Armaldo,Armaldoアーマルド,495,125,100,70,80,45,75,45,600000,rock,bug,Plate Pokémon,3,0,-15.966421127319336,13.594922065734863
349,Feebas,Hinbassヒンバス,200,15,20,10,55,80,20,255,600000,water,,Fish Pokémon,3,0,-4.072264194488525,-42.642250061035156
350,Milotic,Milokarossミロカロス,540,60,79,100,125,81,95,60,600000,water,,Tender Pokémon,3,0,0.14487841725349426,26.535419464111328
351,Castform,Powalenポワルン,420,70,70,70,70,70,70,45,1000000,normal,,Weather Pokémon,3,0,-0.8989235162734985,-0.7886055111885071
352,Kecleon,Kakureonカクレオン,440,90,70,60,120,40,60,200,1059860,normal,,Color Swap Pokémon,3,0,-16.219335556030273,2.3723249435424805
353,Shuppet,Kagebouzuカゲボウズ,295,75,35,63,33,45,44,225,800000,ghost,,Puppet Pokémon,3,0,10.695576667785645,-22.66742706298828
354,Banette,Juppetaジュペッタ,555,165,75,93,83,75,64,45,800000,ghost,,Marionette Pokémon,3,0,17.26247215270996,29.084421157836914
355,Duskull,Yomawaruヨマワル,295,40,90,30,90,25,20,190,800000,ghost,,Requiem Pokémon,3,0,-16.631059646606445,-4.8078718185424805
356,Dusclops,Samayouruサマヨール,455,70,130,60,130,25,40,90,800000,ghost,,Beckon Pokémon,3,0,-20.313026428222656,1.8388667106628418
357,Tropius,Tropiusトロピウス,460,68,83,72,87,51,99,200,1250000,grass,flying,Fruit Pokémon,3,0,-4.407483100891113,14.461496353149414
358,Chimecho,Chireanチリーン,455,50,80,95,90,65,75,45,800000,psychic,,Wind Chime Pokémon,3,0,-0.577549397945404,23.416126251220703
359,Absol,Absolアブソル,565,150,60,115,60,115,65,30,1059860,dark,,Disaster Pokémon,3,0,23.991615295410156,19.967103958129883
360,Wynaut,Sohnanoソーナノ,260,23,48,23,48,23,95,125,1000000,psychic,,Bright Pokémon,3,0,-17.841821670532227,-38.19549560546875
361,Snorunt,Yukiwarashiユキワラシ,300,50,50,50,50,50,50,190,1000000,ice,,Snow Hat Pokémon,3,0,-3.1077048778533936,-29.08392906188965
362,Glalie,Onigohriオニゴーリ,580,120,80,120,80,100,80,75,1000000,ice,,Face Pokémon,3,0,20.757862091064453,20.25735855102539
363,Spheal,Tamazarashiタマザラシ,290,40,50,55,50,25,70,255,1059860,ice,water,Clap Pokémon,3,0,4.789259910583496,-21.788087844848633
364,Sealeo,Todogglerトドグラー,410,60,70,75,70,45,90,120,1059860,ice,water,Ball Roll Pokémon,3,0,-4.988481044769287,11.66947078704834
365,Walrein,Todoserugaトドゼルガ,530,80,90,95,90,65,110,45,1059860,ice,water,Ice Break Pokémon,3,0,-1.0211483240127563,17.527565002441406
366,Clamperl,Pearluluパールル,345,64,85,74,55,32,35,255,600000,water,,Bivalve Pokémon,3,0,-13.184015274047852,-11.863808631896973
367,Huntail,Huntailハンテール,485,104,105,94,75,52,55,60,600000,water,,Deep Sea Pokémon,3,0,-17.66329002380371,10.657608985900879
368,Gorebyss,Sakurabyssサクラビス,485,84,105,114,75,52,55,60,600000,water,,South Sea Pokémon,3,0,3.628974199295044,19.808815002441406
369,Relicanth,Glanthジーランス,485,90,130,45,65,55,100,25,1250000,water,rock,Longevity Pokémon,3,0,-22.4920654296875,12.893790245056152
370,Luvdisc,Lovecusラブカス,330,30,55,40,65,97,43,225,800000,water,,Rendezvous Pokémon,3,0,4.306155681610107,-41.798736572265625
